chr1	22306346	22342865	-0.367
chr1	22342996	119791502	-0.1277
chr10	104580223	123221074	-0.0485
chr10	123221695	123222455	1.17869833115764
chr10	123222749	123237774	-0.0485
chr10	123238059	123238579	0.719129882267816
chr10	123238886	123247008	-0.0485
chr10	123247484	123248204	1.17761343649339
chr10	123248386	123263539	-0.0485
chr10	123263684	123268964	0.585514544294957
chr10	123268980	123269100	-0.0485
chr10	123269195	123270155	0.790491244686008
chr10	123270446	123294834	-0.0485
chr10	123295048	123295688	0.726596905581781
chr10	123295859	123350465	-0.0485
chr10	123350520	123351160	0.693862400211612
chr10	123353491	123357650	-0.0485
chr11	32355867	32360930	-0.0384
chr11	32361159	32362399	1.21920423911984
chr11	32362612	32403004	-0.0384
chr11	32403324	32418210	-0.4228
chr11	32418227	32423262	0.0471
chr12	47767765	52113288	-0.2461
chr13	21140841	21161468	0.0145
chr13	21161553	21162313	-1.03822712658022
chr13	21163298	21182136	0.0145
chr15	72407110	72445684	-0.2526
chr15	72446390	72447470	0.607115754354323
chr15	72447609	72456907	-0.2526
chr17	67618746	75380982	-0.1859
chr19	2200059	17793364	-0.5584
chr2	31593544	48773958	0.0536
chr2	48774103	48775583	0.707139074055255
chr2	48776664	48841402	0.0536
chr5	56141656	56199070	0.2022
chr5	56201137	56201657	-1.77866757781112
chr5	56201754	56209090	0.2022
chr5	56210496	56213616	0.752836108743383
chr5	56213620	56230367	0.2022
chr6	116703505	116708905	-0.0199
chr7	75373099	75395678	-0.1544
chr7	75395763	75396523	1.11280115621159
chr7	75396800	75411267	-0.1544
chr7	75412670	75413550	0.827356538437869
chr7	75413954	75445478	-0.1544
chr7	75446397	75450237	-1.64061309165582
chr7	75450597	75455877	-0.1544
chr8	11571804	11593093	-0.2354
chr8	11593329	11593969	-1.01985792994002
chr8	11594003	11659802	-0.2354
chr8	11660244	11660444	-1.05816822126327
chr8	11660468	11661611	-0.2354
chr8	38116319	38116759	-1.05359387971387
chr8	38117717	38118837	-1.30183808780998
chr8	38118848	106400941	-0.2354
chr8	106500044	106886484	0.2629
chr9	821839	98051002	0.0105
chr9	98051401	98052721	-1.10080001447935
chr9	98053007	98056184	0.0105
chr9	98056354	98057234	0.610425944093353
chr9	98057791	98113105	0.0105
chr9	126273300	126310431	-0.6434
chr9	126310557	126310797	-1.60874257636881
chr9	126311366	126319523	-0.1173
chrX	3532371	23635035	0.1359
chrX	24926719	24946674	-0.3103
chrX	24946712	76690137	0.0849
chrX	76690255	86811801	0.3378
chrX	101854207	101854527	-1.16714425081883
chrX	101854561	149443153	-0.132
chrY	20326727	20331167	-10.6859170081537
